,Name,year,Ratings
1,The Shawshank Redemption,-1994,"
        
        9.3
    "
2,The Godfather,-1972,"
        
        9.2
    "
3,The Dark Knight,-2008,"
        
        9.0
    "
4,The Lord of the Rings: The Return of the King,-2003,"
        
        9.0
    "
5,Schindler's List,-1993,"
        
        9.0
    "
6,The Godfather: Part II,-1974,"
        
        9.0
    "
7,12 Angry Men,-1957,"
        
        9.0
    "
8,Pulp Fiction,-1994,"
        
        8.9
    "
9,Inception,-2010,"
        
        8.8
    "
10,The Lord of the Rings: The Two Towers,-2002,"
        
        8.8
    "
11,Fight Club,-1999,"
        
        8.8
    "
12,The Lord of the Rings: The Fellowship of the Ring,-2001,"
        
        8.8
    "
13,Forrest Gump,-1994,"
        
        8.8
    "
14,"Il buono, il brutto, il cattivo",-1966,"
        
        8.8
    "
15,Everything Everywhere All at Once,-2022,"
        
        8.7
    "
16,The Matrix,-1999,"
        
        8.7
    "
17,Goodfellas,-1990,"
        
        8.7
    "
18,The Empire Strikes Back,-1980,"
        
        8.7
    "
19,One Flew Over the Cuckoo's Nest,-1975,"
        
        8.7
    "
20,Interstellar,-2014,"
        
        8.6
    "
21,Cidade de Deus,-2002,"
        
        8.6
    "
22,Sen to Chihiro no kamikakushi,-2001,"
        
        8.6
    "
23,Saving Private Ryan,-1998,"
        
        8.6
    "
24,The Green Mile,-1999,"
        
        8.6
    "
25,La vita è bella,-1997,"
        
        8.6
    "
26,Se7en,-1995,"
        
        8.6
    "
27,Terminator 2: Judgment Day,-1991,"
        
        8.6
    "
28,The Silence of the Lambs,-1991,"
        
        8.6
    "
29,Star Wars,-1977,"
        
        8.6
    "
30,Seppuku,-1962,"
        
        8.6
    "
31,Shichinin no samurai,-1954,"
        
        8.6
    "
32,It's a Wonderful Life,-1946,"
        
        8.6
    "
33,Gisaengchung,-2019,"
        
        8.5
    "
34,Whiplash,-2014,"
        
        8.5
    "
35,The Intouchables,-2011,"
        
        8.5
    "
36,The Prestige,-2006,"
        
        8.5
    "
37,The Departed,-2006,"
        
        8.5
    "
38,The Pianist,-2002,"
        
        8.5
    "
39,Gladiator,-2000,"
        
        8.5
    "
40,American History X,-1998,"
        
        8.5
    "
41,The Usual Suspects,-1995,"
        
        8.5
    "
42,Léon,-1994,"
        
        8.5
    "
43,The Lion King,-1994,"
        
        8.5
    "
44,Nuovo Cinema Paradiso,-1988,"
        
        8.5
    "
45,Hotaru no haka,-1988,"
        
        8.5
    "
46,Back to the Future,-1985,"
        
        8.5
    "
47,Apocalypse Now,-1979,"
        
        8.5
    "
48,Alien,-1979,"
        
        8.5
    "
49,Once Upon a Time in the West,-1968,"
        
        8.5
    "
50,Psycho,-1960,"
        
        8.5
    "
